trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
302,False,"{'a': 0.01, 'e': 0.04880121836201296}",20,16,6.724970599937723,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.01, 'e': 0.04831563812606777}",20,11,16.989872221631607,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.01, 'e': 0.04783488949419837}",20,4,27.50993864329252,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.01, 'e': 0.04735892439114091}",20,0,13.701096521793287,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
306,False,"{'a': 0.01, 'e': 0.046887695219988486}",30,17,20.581979107567992,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.01, 'e': 0.04642115485743125}",30,18,7.742669121547093,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
308,False,"{'a': 0.01, 'e': 0.045959256649044204}",25,5,19.659462845606114,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.01, 'e': 0.04550195440462157}",20,0,12.167874436906093,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
310,False,"{'a': 0.01, 'e': 0.0450492023935578}",20,0,-24.362183689257858,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
311,False,"{'a': 0.01, 'e': 0.044600955340274535}",20,12,12.479683527890346,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.01, 'e': 0.04415716841969286}",25,0,-6.774964208103391,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
313,False,"{'a': 0.01, 'e': 0.04371779725275094}",20,3,27.276433117383338,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
314,False,"{'a': 0.01, 'e': 0.043282797901965896}",25,0,37.747706989348174,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
315,False,"{'a': 0.01, 'e': 0.04285212686704019}",20,8,-3.941157161851316,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
316,False,"{'a': 0.01, 'e': 0.042425741080511385}",20,13,13.398638215915515,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,False,"{'a': 0.01, 'e': 0.04200359790344555}",25,15,19.54019893393767,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.01, 'e': 0.04158565512117316}",30,3,43.25795459852738,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
319,False,"{'a': 0.01, 'e': 0.04117187093906774}",25,19,9.766695605912787,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
320,False,"{'a': 0.01, 'e': 0.04076220397836621}",25,6,27.21801790410297,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
321,False,"{'a': 0.01, 'e': 0.04035661327203115}",25,16,17.654045292652636,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
322,False,"{'a': 0.01, 'e': 0.039955058260653896}",25,20,9.747371775883252,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
323,False,"{'a': 0.01, 'e': 0.039557498788398725}",25,0,16.84288931643412,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
324,False,"{'a': 0.01, 'e': 0.039163895098987066}",30,16,23.503737030035314,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.01, 'e': 0.03877420783172201}",30,0,37.17113361498971,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
326,False,"{'a': 0.01, 'e': 0.038388398017552054}",30,10,32.55471672116567,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
327,False,"{'a': 0.01, 'e': 0.038006427075174314}",30,12,-10.560057950445334,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
